Title,Description,Status,Priority,Labels,Estimate
Chunk 0 — Source-of-Truth Docs and Stale Doc Quarantine,"Mark the current architecture and roadmap as authoritative, quarantine stale docs, and make the contributor reading path clear.

## Acceptance criteria

- [ ] Current source-of-truth docs are listed before stale historical material.
- [ ] Stale local-MVP or cloud-heavy docs contain clear warning banners or archive notes.
- [ ] Root and docs README files direct new contributors to the authoritative architecture and roadmap.

## Test commands

- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 000
- Difficulty: beginner
- Good first issue: true
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-000-source-of-truth-docs-and-stale-doc-quarantine.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Low,"roadmap, chunk:000, docs, contributor-experience, good first issue, difficulty:beginner",2
Chunk 1 — Open-Source Foundation and Apache-2.0 Setup,"Add licensing, governance, issue templates, security policy, and provider-free contributor onboarding for an Apache-2.0 project.

## Acceptance criteria

- [ ] Apache-2.0 license, notice, trademarks, code of conduct, contributing, and security docs are present.
- [ ] Issue and pull request templates guide contributors without requiring private tools.
- [ ] Provider-free quickstart explains local setup without paid service credentials.

## Test commands

- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 001
- Difficulty: beginner
- Good first issue: true
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-001-open-source-foundation-and-apache-2-0-setup.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Low,"roadmap, chunk:001, docs, governance, contributor-experience, good first issue, difficulty:beginner",2
Chunk 2 — Repo Migration Map and Compatibility Strategy,"Map old task-MVP files to the new chat/run architecture so contributors know what to preserve, wrap, rename, or retire.

## Acceptance criteria

- [ ] Old task-MVP modules are inventoried against the new run/conversation architecture.
- [ ] Each legacy area has a preserve, wrap, rename, or retire decision.
- [ ] Tests to preserve or replace are documented for follow-up chunks.

## Test commands

- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 002
- Difficulty: beginner
- Good first issue: true
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-002-repo-migration-map-and-compatibility-strategy.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Low,"roadmap, chunk:002, docs, migration, contributor-experience, good first issue, difficulty:beginner",2
Chunk 3 — Protocol Foundation,"Create canonical protocol contracts for phases, envelopes, events, DAG schemas, retry policies, and validation policies.

## Acceptance criteria

- [ ] Protocol types cover run phases, event envelopes, DAG nodes, retry policy, and validation policy.
- [ ] Invalid protocol payloads are rejected by schema tests.
- [ ] No provider or UI behavior changes are introduced.

## Test commands

- `npm test -- tests/protocol.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 003
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-003-protocol-foundation.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:003, protocol, schemas, difficulty:intermediate",3
Chunk 4 — Core Data Model and Local Store,"Introduce conversation, message, run, artifact, event, and budget types with an in-memory provider-free store.

## Acceptance criteria

- [ ] Core data model types exist for conversations, messages, runs, artifacts, events, and budgets.
- [ ] In-memory local store supports create, read, list, update, and delete behavior needed by later chunks.
- [ ] Store tests prove provider-free operation and deterministic behavior.

## Test commands

- `npm test -- tests/store.test.ts tests/state.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 004
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-004-core-data-model-and-local-store.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:004, data-model, local-mode, difficulty:intermediate",3
Chunk 5 — Run State Machine and Event Log,"Implement the hidden run lifecycle with append-only events, validated transitions, and resumable NEEDS_DECISION state.

## Acceptance criteria

- [ ] Run lifecycle transitions match the architecture phase model.
- [ ] Every valid transition emits an append-only event and invalid transitions are rejected.
- [ ] NEEDS_DECISION is represented as a first-class resumable state.

## Test commands

- `npm test -- tests/runStateMachine.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 005
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-005-run-state-machine-and-event-log.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:005, state-machine, events, difficulty:intermediate",3
Chunk 6 — Chat API Vertical Shell,"Expose chat-first endpoints and a minimal UI shell while keeping orchestration details behind the user-facing conversation.

## Acceptance criteria

- [ ] Users can create and open conversations through chat-first endpoints.
- [ ] Sending a message produces an assistant response and visible run status metadata.
- [ ] Optional trace/events visibility exists without making agent orchestration the primary UX.

## Test commands

- `npm test -- tests/chatApi.test.ts tests/api.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 006
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-006-chat-api-vertical-shell.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:006, api, chat, ui, difficulty:intermediate",3
"Chunk 7 — Budget, Security, and Redaction Baseline","Add local budget controls, redaction utilities, setup-checklist secret safety, CORS config, dev auth bypass, and budget denial flow.

## Acceptance criteria

- [ ] Budget limits can deny work before provider calls are attempted.
- [ ] Redaction utilities remove secrets from logs, telemetry, docs examples, and setup output.
- [ ] Security tests cover CORS, dev-only auth bypass, rate limiting, and secret safety.

## Test commands

- `npm test -- tests/security.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 007
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-007-budget-security-and-redaction-baseline.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,High,"roadmap, chunk:007, security, budget, redaction, difficulty:intermediate",3
Chunk 8 — Triage and Context Builder,"Implement deterministic triage routes and context-pack generation with artifact handles for large material.

## Acceptance criteria

- [ ] Incoming chat work is routed by deterministic triage rules.
- [ ] Context packs include relevant artifacts, assumptions, and limits without dumping oversized content.
- [ ] Large docs, logs, or repo data are referenced by artifact handles.

## Test commands

- `npm test -- tests/triageContext.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 008
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-008-triage-and-context-builder.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:008, triage, context, difficulty:intermediate",3
Chunk 9 — Planner Schema and Fake Planner,"Define planner input/output contracts and a deterministic fake planner for local tests and provider-free development.

## Acceptance criteria

- [ ] Planner input and output schemas validate goals, assumptions, tasks, dependencies, validation, and risk.
- [ ] Fake planner produces deterministic plans for local provider-free tests.
- [ ] Approval gates are represented for unsafe or ambiguous work.

## Test commands

- `npm test -- tests/planner.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 009
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-009-planner-schema-and-fake-planner.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:009, planner, schemas, local-mode, difficulty:intermediate",3
